continent	country	term	estimate	std.error	statistic	p.value
Africa	Madagascar	intercept	36.6680641025641	0.303904080890051	120.656701927705	3.75162353026288e-17
Africa	Madagascar	I(year - offset)	0.403727972027972	0.00936013025051904	43.1327301247313	1.07735839734068e-12
Africa	Malawi	intercept	36.9103717948718	1.04974404941257	35.161306049343	8.21134368081579e-12
Africa	Malawi	I(year - offset)	0.234225874125874	0.0323317179665111	7.24446113158859	2.77657538874104e-05
Africa	Mali	intercept	33.0512307692308	0.261520321117768	126.38111879018	2.36065637308984e-17
Africa	Mali	I(year - offset)	0.37680979020979	0.00805472654941242	46.781202055491	4.8007806190221e-13
Africa	Mauritania	intercept	40.0256025641026	0.221298597305783	180.866951039896	6.5599422969385e-19
Africa	Mauritania	I(year - offset)	0.446417482517482	0.00681591273461275	65.4963612210691	1.67607732454799e-14
Africa	Mauritius	intercept	55.3707692307692	0.944972825105238	58.595091583298	5.0897799059321e-14
Africa	Mauritius	I(year - offset)	0.348453846153846	0.0291048040562048	11.9723824795707	2.98539339287245e-07
Africa	Morocco	intercept	42.6908333333334	0.411042382592709	103.859930608748	1.67793771686778e-16
Africa	Morocco	I(year - offset)	0.542472727272727	0.0126599492454442	42.8495183318321	1.15034760588155e-12
Africa	Mozambique	intercept	34.2061538461539	1.2444556561608	27.4868402717387	9.41189536409956e-11
Africa	Mozambique	I(year - offset)	0.224485314685315	0.0383287614912761	5.85683716225501	0.000160120663709395
Africa	Namibia	intercept	47.1343333333333	2.69381981308928	17.4972108766545	7.89627248663668e-09
Africa	Namibia	I(year - offset)	0.231163636363636	0.0829686269697275	2.78615718743882	0.0192462505060216
Africa	Niger	intercept	35.1506666666667	1.18583165276628	29.6422064503574	4.46136483620962e-11
Africa	Niger	I(year - offset)	0.34210909090909	0.0365231644556177	9.36690716722576	2.88505103185399e-06
Africa	Nigeria	intercept	37.8595256410256	0.82540185709255	45.8679918341649	5.84203648410784e-13
Africa	Nigeria	I(year - offset)	0.208065734265734	0.0254220636615988	8.18445492999165	9.63842662112053e-06
Africa	Reunion	intercept	53.9975384615385	0.884861376927977	61.0237262801602	3.39449502067111e-14
Africa	Reunion	I(year - offset)	0.459880419580419	0.0272533942862582	16.874243800608	1.12237069713876e-08
Africa	Rwanda	intercept	42.7419487179487	3.5612779800016	12.0018569058542	2.91716085959755e-07
Africa	Rwanda	I(year - offset)	-0.0458314685314688	0.10968600899828	-0.417842429951002	0.684892692484912
Africa	Sao Tome and Principe	intercept	48.5275641025641	0.756998357594167	64.105243579115	2.07647704854195e-14
Africa	Sao Tome and Principe	I(year - offset)	0.340682517482517	0.0233152618607773	14.611996190171	4.49644616399307e-08
Africa	Senegal	intercept	36.7466666666667	0.506291733111549	72.5800250397739	6.01387478257504e-15
Africa	Senegal	I(year - offset)	0.504699999999999	0.0155935930600406	32.3658568013629	1.8677420349625e-11
Africa	Sierra Leone	intercept	30.8832051282051	0.447693630661006	68.9829003879439	9.98866540830114e-15
Africa	Sierra Leone	I(year - offset)	0.214034965034965	0.0137887937636179	15.5223849674002	2.51507908959085e-08
Africa	Somalia	intercept	34.6753974358974	1.01171831951337	34.2737664892496	1.0582982921278e-11
Africa	Somalia	I(year - offset)	0.229573426573426	0.031160539930056	7.36744058635487	2.40436839589355e-05
Africa	South Africa	intercept	49.3412820512821	2.57628499903262	19.1521054812683	3.27632267339702e-09
Africa	South Africa	I(year - offset)	0.16915944055944	0.0793485993435143	2.13185162635473	0.0588374402613926
Africa	Sudan	intercept	37.8741923076923	0.349747958495741	108.289959634328	1.10540636350834e-16
Africa	Sudan	I(year - offset)	0.382774825174825	0.0107721042665355	35.5338953006564	7.39552932431476e-12
Africa	Swaziland	intercept	46.387858974359	3.60788103461011	12.8573693337901	1.5227543738646e-07
Africa	Swaziland	I(year - offset)	0.0950748251748249	0.111121365377603	0.855594465130535	0.412253000536055
Africa	Tanzania	intercept	43.1084102564103	0.99623951267697	43.2711307952189	1.04355467414024e-12
Africa	Tanzania	I(year - offset)	0.174688111888112	0.0306837985592687	5.69317099219918	0.000200178653326035
Africa	Togo	intercept	40.9774615384615	1.2667493270353	32.3485165248639	1.87769088827346e-11
Africa	Togo	I(year - offset)	0.382592307692308	0.0390153980857447	9.80618746607375	1.90131506186042e-06
Africa	Tunisia	intercept	44.5553076923077	0.84660030865051	52.6285039552246	1.48496603854792e-13
Africa	Tunisia	I(year - offset)	0.587843356643356	0.0260749679171478	22.5443558937907	6.63641884682522e-10
Africa	Uganda	intercept	44.275217948718	1.7309708029983	25.5782580919486	1.91511054142699e-10
Africa	Uganda	I(year - offset)	0.121586013986014	0.0533132432064028	2.28059683998762	0.0457392779362016
Africa	Zambia	intercept	47.6580256410256	2.45918609404732	19.3795930110317	2.9197058303202e-09
Africa	Zambia	I(year - offset)	-0.0604251748251749	0.0757419975511148	-0.797776356299512	0.443531781639336
Africa	Zimbabwe	intercept	55.2212435897436	3.91270010500725	14.1133340424109	6.27004859971622e-08
Africa	Zimbabwe	I(year - offset)	-0.0930209790209794	0.120509676957373	-0.771896343676062	0.458028982505967
Asia	Afghanistan	intercept	29.9072948717949	0.663999539495009	45.0411379720839	7.00195141003726e-13
Asia	Afghanistan	I(year - offset)	0.275328671328671	0.0204509335898207	13.4628900983627	9.83521290305262e-08
Asia	Bahrain	intercept	52.7492051282051	0.890329904800453	59.2468082266962	4.5581464373523e-14
Asia	Bahrain	I(year - offset)	0.467507692307692	0.0274218228674575	17.0487459775149	1.01585466423227e-08
Asia	Bangladesh	intercept	36.1354871794872	0.530363621015227	68.1334196910344	1.1303563068906e-14
Asia	Bangladesh	I(year - offset)	0.498130769230769	0.0163349980635352	30.4946941097441	3.36950099089235e-11
Asia	Cambodia	intercept	37.0154230769231	3.05728592073072	12.1072820915867	2.68671629715222e-07
Asia	Cambodia	I(year - offset)	0.395902797202797	0.094163245018979	4.20443026494043	0.00181588898478294
Asia	China	intercept	47.1904815384616	2.0944267502237	22.5314547445601	6.67383968705925e-10
Asia	China	I(year - offset)	0.530714853146853	0.0645075483187002	8.22717444669964	9.20621673170666e-06
Asia	Hong Kong, China	intercept	63.428641025641	0.634199478651733	100.013707296774	2.4463372935164e-16
Asia	Hong Kong, China	I(year - offset)	0.365970629370629	0.0195331030356882	18.7359186454901	4.0590991891879e-09
Asia	India	intercept	39.2697564102564	0.936653291932424	41.925605502585	1.4289422245941e-12
Asia	India	I(year - offset)	0.505320979020979	0.0288485655947371	17.5163294466594	7.81298086328356e-09
Asia	Indonesia	intercept	36.8831153846154	0.35054602788551	105.21618404035	1.47393344062145e-16
Asia	Indonesia	I(year - offset)	0.634641258741258	0.010796684500586	58.781124770925	4.93138591589213e-14
Asia	Iran	intercept	44.9789871794872	0.360909627941225	124.626731173855	2.71460958198093e-17
Asia	Iran	I(year - offset)	0.49663986013986	0.0111158794455886	44.6784136667614	7.58885071252781e-13
Asia	Iraq	intercept	50.1134615384616	2.20308859381167	22.7469116218145	6.0781157877804e-10
Asia	Iraq	I(year - offset)	0.235210489510489	0.0678542918249607	3.46640548717605	0.00605743972869389
Asia	Israel	intercept	66.3004102564103	0.198604555962732	333.831265526716	1.431040389316e-21
Asia	Israel	I(year - offset)	0.267106293706294	0.00611694488179716	43.6666177099536	9.53219266639404e-13
Asia	Japan	intercept	65.1220512820513	0.743500882335083	87.5883981166574	9.20538174990012e-16
Asia	Japan	I(year - offset)	0.352904195804195	0.0228995447499436	15.4109699410101	2.69578416394426e-08
Asia	Jordan	intercept	44.063858974359	1.0367579242358	42.5015887935834	1.24755477942626e-12
Asia	Jordan	I(year - offset)	0.57172937062937	0.0319317502439714	17.9047301278861	6.31348401760698e-09
Asia	Korea, Dem. Rep.	intercept	54.9056025641026	2.11136131844204	26.0048349302038	1.62681422152889e-10
Asia	Korea, Dem. Rep.	I(year - offset)	0.316426573426573	0.065029126587066	4.86592070405431	0.000655590666201813
Asia	Korea, Rep.	intercept	49.7275	0.63763842840956	77.9869872711933	2.93500598450291e-15
Asia	Korea, Rep.	I(year - offset)	0.5554	0.019639021381911	28.2804315550857	7.10402570521099e-11
Asia	Kuwait	intercept	57.4593333333333	0.957267149571527	60.0243446764596	4.0022954490916e-14
Asia	Kuwait	I(year - offset)	0.416836363636363	0.0294834645796489	14.137970878907	6.16634551818571e-08
Asia	Lebanon	intercept	58.687358974359	0.666683757540466	88.0287817283396	8.75561361385392e-16
Asia	Lebanon	I(year - offset)	0.26102937062937	0.0205336064859947	12.7123002385095	1.69552144074781e-07
Asia	Malaysia	intercept	51.505217948718	1.13383655588432	45.4256106679743	6.43382858376272e-13
Asia	Malaysia	I(year - offset)	0.464522377622377	0.0349217352224919	13.3018126007437	1.10286542664031e-07
Asia	Mongolia	intercept	43.8264102564103	0.510576677436334	85.8370783335969	1.12629344421915e-15
Asia	Mongolia	I(year - offset)	0.438688111888112	0.0157255677175666	27.8964880484452	8.13182946358536e-11
Asia	Myanmar	intercept	41.4115512820513	1.64688926605042	25.1453161640702	2.26616635652907e-10
Asia	Myanmar	I(year - offset)	0.433095104895104	0.0507235638075904	8.53834140160109	6.62678995109159e-06
Asia	Nepal	intercept	34.431641025641	0.501892628149355	68.6035998428627	1.05537458891573e-14
Asia	Nepal	I(year - offset)	0.529261538461538	0.0154581022982474	34.2384549053957	1.06917839340389e-11
Asia	Oman	intercept	37.2077435897436	1.27486098394704	29.1857261758426	5.20189837841786e-11
Asia	Oman	I(year - offset)	0.772179020979021	0.0392652340373353	19.6657180304795	2.53034579841986e-09
Asia	Pakistan	intercept	43.7229615384616	0.218801481516028	199.829366947219	2.42107944756556e-19
Asia	Pakistan	I(year - offset)	0.405792307692307	0.00673900251684183	60.2154854042818	3.87736267081891e-14
Asia	Philippines	intercept	49.4043461538462	0.40154788910977	123.03475499118	3.08679631365401e-17
Asia	Philippines	I(year - offset)	0.42046923076923	0.0123675224527446	33.9978546532511	1.14666741335478e-11
Asia	Saudi Arabia	intercept	40.8141153846154	1.13028423017236	36.1096034918504	6.30470994071653e-12
Asia	Saudi Arabia	I(year - offset)	0.649623076923077	0.0348123249399488	18.6607208235496	4.22133757171984e-09
Asia	Singapore	intercept	61.8458846153846	0.386576325790451	159.983631922947	2.23649283496309e-18
Asia	Singapore	I(year - offset)	0.340886013986014	0.0119064039896022	28.6304760264902	6.29037777110074e-11
Asia	Sri Lanka	intercept	59.7914871794872	0.590587866907487	101.240629091443	2.16576403614945e-16
Asia	Sri Lanka	I(year - offset)	0.244894405594405	0.0181898819602565	13.4632212638587	9.83290992704513e-08
Asia	Syria	intercept	46.1012820512821	0.721970488305514	63.8548012668539	2.15918139186145e-14
Asia	Syria	I(year - offset)	0.55435944055944	0.0222364167923606	24.9302504866653	2.46637628567519e-10
Asia	Taiwan	intercept	61.3374358974359	0.711590159192075	86.197701169838	1.08010634417578e-15
Asia	Taiwan	I(year - offset)	0.327244755244755	0.0219167065987347	14.9312924261917	3.65396700756778e-08
Asia	Thailand	intercept	52.6564230769231	0.654270978432845	80.4810618423721	2.14334872521026e-15
Asia	Thailand	I(year - offset)	0.347048251748252	0.0201512976045938	17.2221292423937	9.20905008822308e-09
Asia	Vietnam	intercept	39.0100769230769	0.713339045812076	54.6865857856796	1.01308898650992e-13
Asia	Vietnam	I(year - offset)	0.671615384615384	0.0219705716422993	30.5688625471329	3.28941194879279e-11
Asia	West Bank and Gaza	intercept	43.7983974358975	1.07636654855591	40.6909686060561	1.92368618987697e-12
Asia	West Bank and Gaza	I(year - offset)	0.601100699300699	0.0331516808273131	18.1318317593557	5.58508868965949e-09
Asia	Yemen, Rep.	intercept	30.1302820512821	0.861121621422633	34.9895778966794	8.62025302908846e-12
Asia	Yemen, Rep.	I(year - offset)	0.60545944055944	0.0265222188344686	22.8283856768642	5.86827352956713e-10
Americas	Argentina	intercept	62.6884358974359	0.158728937803766	394.940183969079	2.66477000620906e-22
Americas	Argentina	I(year - offset)	0.231708391608391	0.00488879098963894	47.3958473781069	4.21556744714119e-13
Americas	Bolivia	intercept	38.7564487179487	0.643178424370859	60.2576940541177	3.85035637081704e-14
Americas	Bolivia	I(year - offset)	0.499932167832167	0.0198096511530982	25.2367981631004	2.18647531760797e-10
Americas	Brazil	intercept	51.5120384615385	0.177152918887192	290.777249311599	5.69194818589178e-21
Americas	Brazil	I(year - offset)	0.39008951048951	0.00545624260848165	71.494165212361	6.99043321717699e-15
Americas	Canada	intercept	68.8838461538462	0.13534705463082	508.942335994953	2.11026963508967e-23
Americas	Canada	I(year - offset)	0.21886923076923	0.00416863786974591	52.5037764392259	1.52050301139801e-13
Americas	Chile	intercept	54.3177051282052	0.647738780336758	83.8574233581714	1.4218598928771e-15
Americas	Chile	I(year - offset)	0.476844055944055	0.0199501083845527	23.9018278373502	3.73461002179496e-10
Americas	Colombia	intercept	53.4271153846154	0.712225870839358	75.0142862988837	4.3263985220656e-15
Americas	Colombia	I(year - offset)	0.38075034965035	0.0219362862759898	17.3571016014272	8.53724285659653e-09
Americas	Costa Rica	intercept	59.1047051282051	0.824766773588479	71.6623256669839	6.82840581786245e-15
Americas	Costa Rica	I(year - offset)	0.40278951048951	0.025402503330916	15.8562920056503	2.04847037076922e-08
Americas	Cuba	intercept	62.2134487179487	0.945205146899524	65.8200486127506	1.59561904440854e-14
Americas	Cuba	I(year - offset)	0.321150349650349	0.0291119594792192	11.0315607535657	6.41895247525558e-07
Americas	Dominican Republic	intercept	48.5978076923077	0.841802355960062	57.7306624865437	5.90298330900856e-14
Americas	Dominican Republic	I(year - offset)	0.471152447552447	0.0259271927968306	18.1721349952719	5.46572520875576e-09
Americas	Ecuador	intercept	49.0653717948718	0.379492718219358	129.291998078631	1.8801552419138e-17
Americas	Ecuador	I(year - offset)	0.500053146853146	0.0116882315671892	42.7826180529208	1.16837219605924e-12
Americas	El Salvador	intercept	46.5119487179487	1.05508201747849	44.0837280395569	8.67163151552395e-13
Americas	El Salvador	I(year - offset)	0.477141258741258	0.0324961253552629	14.6830200069986	4.29211282932107e-08
Americas	Guatemala	intercept	42.1193974358974	0.315592364817777	133.46139555758	1.36907348102277e-17
Americas	Guatemala	I(year - offset)	0.531273426573426	0.00972012495558567	54.657057291031	1.01855871279508e-13
